frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
2,0.0667,24,6,1,0,510.364,612.273,508,611,6,3,11,0.2583,30.182,31.0,0.666,0.666,0.133,0.666,1.0,5
2,0.0667,25,16,1,0,471.4,613.8,468,613,9,3,15,0.275,30.533,33.0,7.808,1.551,0.521,3.078,0.1986,15
2,0.0667,26,155,1,0,490.5,613.0,488,613,6,1,6,0.25,30.0,30.0,346.248,50.962,2.086,18.419,0.1472,166
2,0.0667,27,27,1,1,443.0,615.0,442,615,3,1,3,0.2583,30.333,31.0,54.787,51.539,2.029,26.261,0.9407,27
2,0.0667,28,21,1,0,175.0,621.0,169,621,13,1,13,0.2833,31.538,34.0,11.138,3.0,0.53,4.148,0.2693,21
2,0.0667,29,4,1,0,93.0,623.0,92,623,3,1,3,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,3
2,0.0667,31,17,1,0,102.5,623.0,102,623,2,1,2,0.25,30.0,30.0,36.065,11.0,2.121,23.521,0.305,17
2,0.0667,32,80,1,1,841.333,631.5,840,630,4,4,12,0.3333,34.083,40.0,796.279,332.509,8.947,35.145,0.4176,89
2,0.0667,35,3,1,0,564.8,585.3,564,584,3,4,10,0.2833,31.5,34.0,0.72,0.624,0.36,0.601,0.866,2
2,0.0667,36,10,1,0,1360.5,582.0,1360,582,2,1,2,0.2583,30.5,31.0,3.33,0.92,0.37,1.512,0.2762,9
2,0.0667,37,5,1,0,1365.0,582.0,1363,582,5,1,5,0.25,30.0,30.0,6.584,6.576,1.646,5.209,0.9989,4
2,0.0667,38,30,1,0,306.115,617.577,300,617,13,3,26,0.2833,30.846,34.0,40.426,3.465,1.304,9.197,0.0857,31
3,0.1,1,507,1,0,944.716,317.34,935,310,22,16,197,1.0,96.02,191.0,136.218,15.329,0.269,4.253,0.1125,506
3,0.1,2,507,1,0,996.967,318.787,990,314,16,11,122,1.0,126.295,224.0,103.209,12.365,0.204,2.49,0.1198,506
3,0.1,3,63,1,1,1309.47,346.978,1297,341,28,14,230,1.0,109.865,235.0,869.389,328.438,12.976,71.865,0.3778,67
3,0.1,4,14,1,0,1105.75,415.25,1105,415,3,2,4,0.2917,32.75,35.0,2.513,2.226,0.193,1.572,0.8857,13
3,0.1,5,52,1,1,705.53,451.072,700,448,14,7,83,1.0,88.229,209.0,217.553,181.251,3.956,102.165,0.8331,55
3,0.1,6,13,1,1,707.643,494.619,704,492,8,6,42,0.875,59.405,105.0,138.618,115.966,8.664,24.701,0.8366,16
3,0.1,7,64,1,1,834.222,502.222,832,501,6,4,18,0.4167,38.556,50.0,259.16,191.855,4.114,39.761,0.7403,63
3,0.1,8,18,1,1,661.5,515.5,661,515,2,2,4,0.25,30.0,30.0,18.288,16.847,1.076,17.18,0.9212,17
3,0.1,9,259,1,0,1007.021,517.453,1001,514,14,9,95,1.0,79.495,129.0,165.127,52.174,0.635,19.317,0.316,260
3,0.1,10,158,1,0,955.926,522.631,951,516,13,20,149,1.0,78.919,171.0,60.61,4.872,0.379,3.947,0.0804,160
3,0.1,11,3,1,1,1177.5,589.0,1176,589,4,1,4,0.25,30.0,30.0,158.704,141.958,39.676,71.648,0.8945,4
3,0.1,12,28,1,0,649.885,543.971,636,533,26,19,104,0.3167,32.952,38.0,27.507,5.425,1.019,7.066,0.1972,27
3,0.1,13,90,1,1,841.463,545.821,836,542,11,8,67,1.0,93.015,184.0,548.85,173.581,6.031,30.89,0.3163,91
3,0.1,14,4,1,0,632.4,552.2,631,552,4,2,5,0.2583,30.6,31.0,0.0,0.0,0.0,0.0,0.0,3
3,0.1,15,4,1,0,627.2,556.0,626,555,4,3,5,0.25,30.0,30.0,1.353,1.353,0.451,1.353,1.0,3
3,0.1,16,4,1,0,609.5,564.0,609,563,2,3,4,0.2583,30.25,31.0,0.0,0.0,0.0,0.0,0.0,3
3,0.1,17,4,1,0,613.333,563.0,612,562,4,3,9,0.275,31.111,33.0,0.167,0.167,0.056,0.167,1.0,3
3,0.1,18,13,1,1,587.849,573.589,567,563,41,22,185,0.3083,32.768,37.0,92.168,89.815,5.12,25.741,0.9745,18
3,0.1,19,27,1,0,1398.43,580.244,1370,578,58,6,193,0.3417,34.161,41.0,21.768,5.896,0.837,5.091,0.2708,26
3,0.1,20,101,1,0,1172.222,589.444,1170,589,5,2,9,0.2667,31.222,32.0,839.973,106.906,7.924,77.941,0.1273,106
3,0.1,21,6,1,1,1242.667,586.667,1242,586,2,2,3,0.25,30.0,30.0,67.279,66.29,13.456,61.211,0.9853,5
