frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
3,0.1,9,49,1,0,803.5,438.0,803,438,2,1,2,0.25,18.0,18.0,40.867,7.019,0.834,8.494,0.1717,49
3,0.1,10,65,1,1,807.4,441.229,800,439,14,5,35,0.2778,18.914,20.0,123.379,76.816,1.645,21.869,0.6226,75
3,0.1,11,4,1,0,710.801,449.433,699,444,28,12,201,1.0,49.269,209.0,9.327,9.301,3.109,7.243,0.9973,3
3,0.1,12,4,1,0,674.424,452.946,665,448,22,11,92,0.3889,21.304,28.0,0.566,0.265,0.189,0.281,0.4675,3
3,0.1,13,23,1,1,707.647,494.824,704,492,8,7,51,1.0,52.843,105.0,70.073,64.313,2.803,24.164,0.9178,25
3,0.1,14,46,1,1,834.29,502.097,831,500,7,6,31,0.6944,31.839,50.0,167.138,154.666,3.714,22.444,0.9254,45
3,0.1,16,153,1,0,1007.119,517.127,1000,513,16,11,118,1.0,68.356,129.0,69.075,5.386,0.443,3.852,0.078,156
3,0.1,17,89,1,1,955.969,522.272,950,513,16,23,195,1.0,65.687,171.0,665.962,176.725,7.483,37.876,0.2654,89
3,0.1,19,65,1,0,841.419,546.023,836,542,12,9,86,1.0,77.5,184.0,357.721,26.169,5.339,24.629,0.0732,67
3,0.1,20,6,1,1,842.153,593.378,836,588,13,11,111,1.0,47.883,103.0,22.527,22.22,4.505,13.805,0.9864,5
3,0.1,22,4,1,0,265.25,619.75,264,619,3,2,4,0.25,18.0,18.0,0.0,0.0,0.0,0.0,0.0,3
3,0.1,26,51,1,1,841.968,632.032,839,630,7,6,31,0.5556,27.0,40.0,316.496,146.361,5.972,23.629,0.4624,53
3,0.1,27,102,1,1,1336.217,823.826,1333,822,8,5,23,0.3333,21.217,24.0,1011.036,423.75,9.361,61.32,0.4191,108
3,0.1,29,16,1,0,869.5,429.25,868,429,4,2,4,0.2639,18.5,19.0,6.592,0.601,0.439,0.601,0.0912,15
3,0.1,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
3,0.1,31,2,0,0,731.429,446.095,728,444,8,5,21,0.2917,19.048,21.0,81.231,81.231,40.616,40.616,1.0,2
3,0.1,32,22,1,0,693.5,451.25,692,451,4,2,4,0.25,18.0,18.0,11.479,1.431,0.522,5.675,0.1247,22
3,0.1,33,1,0,0,688.5,451.0,688,451,2,1,2,0.2639,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0
4,0.1333,1,153,1,0,942.526,316.898,931,309,25,17,285,1.0,74.368,186.0,28.982,7.891,0.186,2.386,0.2723,156
4,0.1333,2,153,1,0,996.052,319.007,989,314,16,12,135,1.0,115.548,224.0,26.616,5.853,0.171,1.583,0.2199,156
4,0.1333,3,47,1,1,1262.808,377.823,1247,367,33,21,339,1.0,93.292,243.0,832.205,564.662,14.348,71.812,0.6785,58
4,0.1333,4,96,1,1,1104.77,416.639,1098,413,15,10,61,0.4861,22.18,35.0,430.294,375.167,4.529,82.138,0.8719,95
4,0.1333,6,17,1,0,876.118,428.529,874,427,6,5,17,0.2778,18.529,20.0,3.466,2.998,0.217,1.989,0.8649,16
4,0.1333,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
